iso_code,country,date,owid_new_deaths
ABW,Aruba,2020-08-02,0.0
ABW,Aruba,2020-08-03,0.0
ABW,Aruba,2020-08-04,0.0
ABW,Aruba,2020-08-05,0.0
ABW,Aruba,2020-08-06,0.0
AFG,Afghanistan,2019-12-31,0.0
AFG,Afghanistan,2020-01-01,0.0
AFG,Afghanistan,2020-01-02,0.0
AFG,Afghanistan,2020-01-03,0.0
AFG,Afghanistan,2020-01-04,0.0
AFG,Afghanistan,2020-01-05,0.0
AFG,Afghanistan,2020-01-06,0.0
AFG,Afghanistan,2020-01-07,0.0
AFG,Afghanistan,2020-01-08,0.0
AFG,Afghanistan,2020-01-09,0.0
AFG,Afghanistan,2020-01-10,0.0
AFG,Afghanistan,2020-01-11,0.0
AFG,Afghanistan,2020-01-12,0.0
AFG,Afghanistan,2020-01-13,0.0
AFG,Afghanistan,2020-01-14,0.0
AFG,Afghanistan,2020-01-15,0.0
AFG,Afghanistan,2020-01-16,0.0
AFG,Afghanistan,2020-01-17,0.0
AFG,Afghanistan,2020-01-18,0.0
AFG,Afghanistan,2020-01-19,0.0
AFG,Afghanistan,2020-01-20,0.0
AFG,Afghanistan,2020-01-21,0.0
AFG,Afghanistan,2020-01-22,0.0
AFG,Afghanistan,2020-01-23,0.0
AFG,Afghanistan,2020-01-24,0.0
AFG,Afghanistan,2020-01-25,0.0
AFG,Afghanistan,2020-01-26,0.0
AFG,Afghanistan,2020-01-27,0.0
AFG,Afghanistan,2020-01-28,0.0
AFG,Afghanistan,2020-01-29,0.0
AFG,Afghanistan,2020-01-30,0.0
AFG,Afghanistan,2020-01-31,0.0
AFG,Afghanistan,2020-02-01,0.0
AFG,Afghanistan,2020-02-02,0.0
AFG,Afghanistan,2020-02-03,0.0
AFG,Afghanistan,2020-02-04,0.0
AFG,Afghanistan,2020-02-05,0.0
AFG,Afghanistan,2020-02-06,0.0
AFG,Afghanistan,2020-02-07,0.0
AFG,Afghanistan,2020-02-08,0.0
AFG,Afghanistan,2020-02-09,0.0
AFG,Afghanistan,2020-02-10,0.0
AFG,Afghanistan,2020-02-11,0.0
AFG,Afghanistan,2020-02-12,0.0
AFG,Afghanistan,2020-02-13,0.0
AFG,Afghanistan,2020-02-14,0.0
AFG,Afghanistan,2020-02-15,0.0
AFG,Afghanistan,2020-02-16,0.0
AFG,Afghanistan,2020-02-17,0.0
AFG,Afghanistan,2020-02-18,0.0
AFG,Afghanistan,2020-02-19,0.0
AFG,Afghanistan,2020-02-20,0.0
AFG,Afghanistan,2020-02-21,0.0
AFG,Afghanistan,2020-02-22,0.0
AFG,Afghanistan,2020-02-23,0.0
AFG,Afghanistan,2020-02-24,0.0
AFG,Afghanistan,2020-02-25,0.0
AFG,Afghanistan,2020-02-26,0.0
AFG,Afghanistan,2020-02-27,0.0
AFG,Afghanistan,2020-02-28,0.0
AFG,Afghanistan,2020-02-29,0.0
AFG,Afghanistan,2020-03-01,0.0
AFG,Afghanistan,2020-03-02,0.0
AFG,Afghanistan,2020-03-08,0.0
AFG,Afghanistan,2020-03-11,0.0
AFG,Afghanistan,2020-03-15,0.0
AFG,Afghanistan,2020-03-16,0.0
AFG,Afghanistan,2020-03-17,0.0
AFG,Afghanistan,2020-03-18,0.0
AFG,Afghanistan,2020-03-19,0.0
AFG,Afghanistan,2020-03-20,0.0
AFG,Afghanistan,2020-03-21,0.0
AFG,Afghanistan,2020-03-22,0.0
AFG,Afghanistan,2020-03-23,0.0
AFG,Afghanistan,2020-03-24,1.0
AFG,Afghanistan,2020-03-25,0.0
AFG,Afghanistan,2020-03-26,0.0
AFG,Afghanistan,2020-03-27,0.0
AFG,Afghanistan,2020-03-28,1.0
AFG,Afghanistan,2020-03-29,1.0
AFG,Afghanistan,2020-03-30,1.0
AFG,Afghanistan,2020-03-31,0.0
AFG,Afghanistan,2020-04-01,0.0
AFG,Afghanistan,2020-04-02,0.0
AFG,Afghanistan,2020-04-03,0.0
AFG,Afghanistan,2020-04-04,0.0
AFG,Afghanistan,2020-04-05,1.0
AFG,Afghanistan,2020-04-06,2.0
AFG,Afghanistan,2020-04-07,0.0
AFG,Afghanistan,2020-04-08,4.0
AFG,Afghanistan,2020-04-09,3.0
AFG,Afghanistan,2020-04-10,1.0
AFG,Afghanistan,2020-04-11,0.0
AFG,Afghanistan,2020-04-12,3.0
AFG,Afghanistan,2020-04-13,0.0
AFG,Afghanistan,2020-04-14,3.0
AFG,Afghanistan,2020-04-15,2.0
AFG,Afghanistan,2020-04-16,2.0
AFG,Afghanistan,2020-04-17,4.0
AFG,Afghanistan,2020-04-18,1.0
AFG,Afghanistan,2020-04-19,0.0
AFG,Afghanistan,2020-04-20,3.0
AFG,Afghanistan,2020-04-21,2.0
AFG,Afghanistan,2020-04-22,1.0
AFG,Afghanistan,2020-04-23,4.0
AFG,Afghanistan,2020-04-24,2.0
AFG,Afghanistan,2020-04-25,1.0
AFG,Afghanistan,2020-04-26,4.0
AFG,Afghanistan,2020-04-27,10.0
AFG,Afghanistan,2020-04-28,0.0
AFG,Afghanistan,2020-04-29,3.0
AFG,Afghanistan,2020-04-30,0.0
AFG,Afghanistan,2020-05-01,4.0
AFG,Afghanistan,2020-05-02,4.0
AFG,Afghanistan,2020-05-03,4.0
AFG,Afghanistan,2020-05-04,13.0
AFG,Afghanistan,2020-05-05,5.0
AFG,Afghanistan,2020-05-06,5.0
AFG,Afghanistan,2020-05-07,9.0
AFG,Afghanistan,2020-05-08,2.0
AFG,Afghanistan,2020-05-09,3.0
AFG,Afghanistan,2020-05-10,6.0
AFG,Afghanistan,2020-05-11,5.0
AFG,Afghanistan,2020-05-12,2.0
AFG,Afghanistan,2020-05-13,5.0
AFG,Afghanistan,2020-05-14,3.0
AFG,Afghanistan,2020-05-15,6.0
AFG,Afghanistan,2020-05-16,32.0
AFG,Afghanistan,2020-05-17,0.0
AFG,Afghanistan,2020-05-18,1.0
AFG,Afghanistan,2020-05-19,4.0
AFG,Afghanistan,2020-05-20,5.0
AFG,Afghanistan,2020-05-21,9.0
AFG,Afghanistan,2020-05-22,6.0
AFG,Afghanistan,2020-05-23,12.0
AFG,Afghanistan,2020-05-24,11.0
AFG,Afghanistan,2020-05-25,2.0
AFG,Afghanistan,2020-05-26,1.0
AFG,Afghanistan,2020-05-27,1.0
AFG,Afghanistan,2020-05-28,7.0
AFG,Afghanistan,2020-05-29,8.0
AFG,Afghanistan,2020-05-30,11.0
AFG,Afghanistan,2020-05-31,3.0
AFG,Afghanistan,2020-06-01,8.0
AFG,Afghanistan,2020-06-02,8.0
AFG,Afghanistan,2020-06-03,5.0
AFG,Afghanistan,2020-06-04,24.0
AFG,Afghanistan,2020-06-05,6.0
AFG,Afghanistan,2020-06-06,9.0
AFG,Afghanistan,2020-06-07,18.0
AFG,Afghanistan,2020-06-08,30.0
AFG,Afghanistan,2020-06-09,12.0
AFG,Afghanistan,2020-06-10,15.0
AFG,Afghanistan,2020-06-11,21.0
AFG,Afghanistan,2020-06-12,21.0
AFG,Afghanistan,2020-06-13,20.0
AFG,Afghanistan,2020-06-14,5.0
AFG,Afghanistan,2020-06-15,20.0
AFG,Afghanistan,2020-06-16,7.0
AFG,Afghanistan,2020-06-17,13.0
AFG,Afghanistan,2020-06-18,13.0
AFG,Afghanistan,2020-06-19,42.0
AFG,Afghanistan,2020-06-20,2.0
AFG,Afghanistan,2020-06-21,21.0
AFG,Afghanistan,2020-06-22,12.0
AFG,Afghanistan,2020-06-23,17.0
AFG,Afghanistan,2020-06-24,20.0
AFG,Afghanistan,2020-06-25,21.0
AFG,Afghanistan,2020-06-26,36.0
AFG,Afghanistan,2020-06-27,8.0
AFG,Afghanistan,2020-06-28,20.0
AFG,Afghanistan,2020-06-29,18.0
AFG,Afghanistan,2020-06-30,12.0
AFG,Afghanistan,2020-07-01,13.0
AFG,Afghanistan,2020-07-02,28.0
AFG,Afghanistan,2020-07-03,33.0
AFG,Afghanistan,2020-07-04,12.0
AFG,Afghanistan,2020-07-05,7.0
AFG,Afghanistan,2020-07-06,38.0
AFG,Afghanistan,2020-07-07,56.0
AFG,Afghanistan,2020-07-08,16.0
AFG,Afghanistan,2020-07-09,1.0
AFG,Afghanistan,2020-07-10,20.0
AFG,Afghanistan,2020-07-11,37.0
AFG,Afghanistan,2020-07-12,16.0
AFG,Afghanistan,2020-07-13,0.0
AFG,Afghanistan,2020-07-14,2.0
AFG,Afghanistan,2020-07-15,33.0
AFG,Afghanistan,2020-07-16,49.0
AFG,Afghanistan,2020-07-17,21.0
AFG,Afghanistan,2020-07-18,32.0
AFG,Afghanistan,2020-07-19,17.0
AFG,Afghanistan,2020-07-20,17.0
AFG,Afghanistan,2020-07-21,5.0
AFG,Afghanistan,2020-07-22,4.0
AFG,Afghanistan,2020-07-23,21.0
AFG,Afghanistan,2020-07-24,0.0
AFG,Afghanistan,2020-07-25,35.0
AFG,Afghanistan,2020-07-26,13.0
AFG,Afghanistan,2020-07-27,10.0
AFG,Afghanistan,2020-07-28,1.0
AFG,Afghanistan,2020-07-29,1.0
AFG,Afghanistan,2020-07-30,0.0
AFG,Afghanistan,2020-07-31,0.0
AFG,Afghanistan,2020-08-01,12.0
AFG,Afghanistan,2020-08-02,0.0
AFG,Afghanistan,2020-08-03,1.0
AFG,Afghanistan,2020-08-04,4.0
AFG,Afghanistan,2020-08-05,6.0
AFG,Afghanistan,2020-08-06,4.0
AGO,Angola,2020-03-22,0.0
AGO,Angola,2020-03-23,0.0
AGO,Angola,2020-03-24,0.0
AGO,Angola,2020-03-25,0.0
AGO,Angola,2020-03-26,0.0
AGO,Angola,2020-03-27,0.0
AGO,Angola,2020-03-28,0.0
AGO,Angola,2020-03-29,0.0
AGO,Angola,2020-03-30,2.0
AGO,Angola,2020-03-31,0.0
AGO,Angola,2020-04-01,0.0
AGO,Angola,2020-04-02,0.0
AGO,Angola,2020-04-03,0.0
AGO,Angola,2020-04-04,0.0
AGO,Angola,2020-04-05,0.0
AGO,Angola,2020-04-06,0.0
AGO,Angola,2020-04-07,0.0
AGO,Angola,2020-04-08,0.0
AGO,Angola,2020-04-09,0.0
AGO,Angola,2020-04-10,0.0
AGO,Angola,2020-04-11,0.0
AGO,Angola,2020-04-12,0.0
AGO,Angola,2020-04-13,0.0
AGO,Angola,2020-04-14,0.0
AGO,Angola,2020-04-15,0.0
AGO,Angola,2020-04-16,0.0
AGO,Angola,2020-04-17,0.0
AGO,Angola,2020-04-18,0.0
AGO,Angola,2020-04-19,0.0
AGO,Angola,2020-04-20,0.0
AGO,Angola,2020-04-21,0.0
AGO,Angola,2020-04-22,0.0
AGO,Angola,2020-04-23,0.0
AGO,Angola,2020-04-24,0.0
AGO,Angola,2020-04-25,0.0
AGO,Angola,2020-04-26,0.0
AGO,Angola,2020-04-27,0.0
AGO,Angola,2020-04-28,0.0
AGO,Angola,2020-04-29,0.0
AGO,Angola,2020-04-30,0.0
AGO,Angola,2020-05-01,0.0
AGO,Angola,2020-05-02,0.0
AGO,Angola,2020-05-03,0.0
AGO,Angola,2020-05-04,0.0
AGO,Angola,2020-05-05,0.0
AGO,Angola,2020-05-06,0.0
AGO,Angola,2020-05-07,0.0
AGO,Angola,2020-05-08,0.0
AGO,Angola,2020-05-09,0.0
AGO,Angola,2020-05-10,0.0
AGO,Angola,2020-05-11,0.0
AGO,Angola,2020-05-12,0.0
AGO,Angola,2020-05-13,0.0
AGO,Angola,2020-05-14,0.0
AGO,Angola,2020-05-15,0.0
AGO,Angola,2020-05-16,0.0
AGO,Angola,2020-05-17,0.0
AGO,Angola,2020-05-18,0.0
AGO,Angola,2020-05-19,0.0
AGO,Angola,2020-05-20,0.0
AGO,Angola,2020-05-21,1.0
AGO,Angola,2020-05-22,0.0
AGO,Angola,2020-05-23,0.0
AGO,Angola,2020-05-24,0.0
AGO,Angola,2020-05-25,1.0
AGO,Angola,2020-05-26,0.0
AGO,Angola,2020-05-27,0.0
AGO,Angola,2020-05-28,0.0
AGO,Angola,2020-05-29,0.0
AGO,Angola,2020-05-30,0.0
AGO,Angola,2020-05-31,0.0
AGO,Angola,2020-06-01,0.0
AGO,Angola,2020-06-02,0.0
AGO,Angola,2020-06-03,0.0
AGO,Angola,2020-06-04,0.0
AGO,Angola,2020-06-05,0.0
AGO,Angola,2020-06-06,0.0
AGO,Angola,2020-06-07,0.0
AGO,Angola,2020-06-08,0.0
AGO,Angola,2020-06-09,0.0
AGO,Angola,2020-06-10,0.0
AGO,Angola,2020-06-11,0.0
AGO,Angola,2020-06-12,1.0
AGO,Angola,2020-06-13,0.0
AGO,Angola,2020-06-14,1.0
AGO,Angola,2020-06-15,0.0
AGO,Angola,2020-06-16,0.0
AGO,Angola,2020-06-17,0.0
AGO,Angola,2020-06-18,1.0
AGO,Angola,2020-06-19,0.0
AGO,Angola,2020-06-20,1.0
AGO,Angola,2020-06-21,0.0
AGO,Angola,2020-06-22,1.0
AGO,Angola,2020-06-23,0.0
AGO,Angola,2020-06-24,1.0
AGO,Angola,2020-06-25,0.0
AGO,Angola,2020-06-26,0.0
AGO,Angola,2020-06-27,0.0
AGO,Angola,2020-06-28,0.0
AGO,Angola,2020-06-29,1.0
AGO,Angola,2020-06-30,0.0
AGO,Angola,2020-07-01,2.0
AGO,Angola,2020-07-02,2.0
AGO,Angola,2020-07-03,2.0
AGO,Angola,2020-07-04,1.0
AGO,Angola,2020-07-05,1.0
AGO,Angola,2020-07-06,0.0
AGO,Angola,2020-07-07,0.0
AGO,Angola,2020-07-08,0.0
AGO,Angola,2020-07-09,2.0
AGO,Angola,2020-07-10,1.0
AGO,Angola,2020-07-11,1.0
AGO,Angola,2020-07-12,2.0
AGO,Angola,2020-07-13,1.0
AGO,Angola,2020-07-14,0.0
AGO,Angola,2020-07-15,0.0
AGO,Angola,2020-07-16,1.0
AGO,Angola,2020-07-17,1.0
AGO,Angola,2020-07-18,1.0
AGO,Angola,2020-07-19,0.0
AGO,Angola,2020-07-20,0.0
AGO,Angola,2020-07-21,0.0
AGO,Angola,2020-07-22,0.0
AGO,Angola,2020-07-23,1.0
AGO,Angola,2020-07-24,3.0
AGO,Angola,2020-07-25,0.0
AGO,Angola,2020-07-26,2.0
AGO,Angola,2020-07-27,5.0
AGO,Angola,2020-07-28,0.0
AGO,Angola,2020-07-29,1.0
AGO,Angola,2020-07-30,6.0
AGO,Angola,2020-07-31,1.0
AGO,Angola,2020-08-01,3.0
AGO,Angola,2020-08-02,1.0
AGO,Angola,2020-08-03,0.0
AGO,Angola,2020-08-04,2.0
AGO,Angola,2020-08-05,0.0
AGO,Angola,2020-08-06,5.0
AIA,Anguilla,2020-03-27,0.0
AIA,Anguilla,2020-03-28,0.0
AIA,Anguilla,2020-03-29,0.0
AIA,Anguilla,2020-03-30,0.0
AIA,Anguilla,2020-03-31,0.0
AIA,Anguilla,2020-04-01,0.0
AIA,Anguilla,2020-04-02,0.0
AIA,Anguilla,2020-04-03,0.0
AIA,Anguilla,2020-04-04,0.0
AIA,Anguilla,2020-04-05,0.0
AIA,Anguilla,2020-04-06,0.0
AIA,Anguilla,2020-04-07,0.0
AIA,Anguilla,2020-04-08,0.0
AIA,Anguilla,2020-04-09,0.0
AIA,Anguilla,2020-04-10,0.0
AIA,Anguilla,2020-04-11,0.0
AIA,Anguilla,2020-04-12,0.0
AIA,Anguilla,2020-04-13,0.0
AIA,Anguilla,2020-04-14,0.0
AIA,Anguilla,2020-04-15,0.0
AIA,Anguilla,2020-04-16,0.0
AIA,Anguilla,2020-04-17,0.0
AIA,Anguilla,2020-04-18,0.0
AIA,Anguilla,2020-04-19,0.0
AIA,Anguilla,2020-04-20,0.0
AIA,Anguilla,2020-04-21,0.0
AIA,Anguilla,2020-04-22,0.0
AIA,Anguilla,2020-04-23,0.0
AIA,Anguilla,2020-04-24,0.0
AIA,Anguilla,2020-04-25,0.0
AIA,Anguilla,2020-04-26,0.0
AIA,Anguilla,2020-04-27,0.0
AIA,Anguilla,2020-04-28,0.0
AIA,Anguilla,2020-04-29,0.0
AIA,Anguilla,2020-04-30,0.0
AIA,Anguilla,2020-05-01,0.0
AIA,Anguilla,2020-05-02,0.0
AIA,Anguilla,2020-05-03,0.0
AIA,Anguilla,2020-05-04,0.0
AIA,Anguilla,2020-05-05,0.0
AIA,Anguilla,2020-05-06,0.0
AIA,Anguilla,2020-05-07,0.0
AIA,Anguilla,2020-05-08,0.0
AIA,Anguilla,2020-05-09,0.0
AIA,Anguilla,2020-05-10,0.0
AIA,Anguilla,2020-05-11,0.0
AIA,Anguilla,2020-05-12,0.0
AIA,Anguilla,2020-05-13,0.0
AIA,Anguilla,2020-05-14,0.0
AIA,Anguilla,2020-05-15,0.0
AIA,Anguilla,2020-05-16,0.0
AIA,Anguilla,2020-05-17,0.0
AIA,Anguilla,2020-05-18,0.0
AIA,Anguilla,2020-05-19,0.0
AIA,Anguilla,2020-05-20,0.0
AIA,Anguilla,2020-05-21,0.0
AIA,Anguilla,2020-05-22,0.0
AIA,Anguilla,2020-05-23,0.0
AIA,Anguilla,2020-05-24,0.0
AIA,Anguilla,2020-05-25,0.0
AIA,Anguilla,2020-05-26,0.0
AIA,Anguilla,2020-05-27,0.0
AIA,Anguilla,2020-05-28,0.0
AIA,Anguilla,2020-05-29,0.0
AIA,Anguilla,2020-05-30,0.0
AIA,Anguilla,2020-05-31,0.0
AIA,Anguilla,2020-06-01,0.0
AIA,Anguilla,2020-06-02,0.0
AIA,Anguilla,2020-06-03,0.0
AIA,Anguilla,2020-06-04,0.0
AIA,Anguilla,2020-06-05,0.0
AIA,Anguilla,2020-06-06,0.0
AIA,Anguilla,2020-06-07,0.0
AIA,Anguilla,2020-06-08,0.0
AIA,Anguilla,2020-06-09,0.0
AIA,Anguilla,2020-06-10,0.0
AIA,Anguilla,2020-06-11,0.0
AIA,Anguilla,2020-06-12,0.0
AIA,Anguilla,2020-06-13,0.0
AIA,Anguilla,2020-06-14,0.0
AIA,Anguilla,2020-06-15,0.0
AIA,Anguilla,2020-06-16,0.0
AIA,Anguilla,2020-06-17,0.0
AIA,Anguilla,2020-06-18,0.0
AIA,Anguilla,2020-06-19,0.0
AIA,Anguilla,2020-06-20,0.0
AIA,Anguilla,2020-06-21,0.0
AIA,Anguilla,2020-06-22,0.0
AIA,Anguilla,2020-06-23,0.0
AIA,Anguilla,2020-06-24,0.0
AIA,Anguilla,2020-06-25,0.0
AIA,Anguilla,2020-06-26,0.0
AIA,Anguilla,2020-06-27,0.0
AIA,Anguilla,2020-06-28,0.0
AIA,Anguilla,2020-06-29,0.0
AIA,Anguilla,2020-06-30,0.0
AIA,Anguilla,2020-07-01,0.0
AIA,Anguilla,2020-07-02,0.0
AIA,Anguilla,2020-07-03,0.0
AIA,Anguilla,2020-07-04,0.0
AIA,Anguilla,2020-07-05,0.0
AIA,Anguilla,2020-07-06,0.0
AIA,Anguilla,2020-07-07,0.0
AIA,Anguilla,2020-07-08,0.0
AIA,Anguilla,2020-07-09,0.0
AIA,Anguilla,2020-07-10,0.0
AIA,Anguilla,2020-07-11,0.0
AIA,Anguilla,2020-07-12,0.0
AIA,Anguilla,2020-07-13,0.0
AIA,Anguilla,2020-07-14,0.0
AIA,Anguilla,2020-07-15,0.0
AIA,Anguilla,2020-07-16,0.0
AIA,Anguilla,2020-07-17,0.0
AIA,Anguilla,2020-07-18,0.0
AIA,Anguilla,2020-07-19,0.0
AIA,Anguilla,2020-07-20,0.0
AIA,Anguilla,2020-07-21,0.0
AIA,Anguilla,2020-07-22,0.0
AIA,Anguilla,2020-07-23,0.0
AIA,Anguilla,2020-07-24,0.0
AIA,Anguilla,2020-07-25,0.0
AIA,Anguilla,2020-07-26,0.0
AIA,Anguilla,2020-07-27,0.0
AIA,Anguilla,2020-07-28,0.0
AIA,Anguilla,2020-07-29,0.0
AIA,Anguilla,2020-07-30,0.0
AIA,Anguilla,2020-07-31,0.0
AIA,Anguilla,2020-08-01,0.0
AIA,Anguilla,2020-08-02,0.0
AIA,Anguilla,2020-08-03,0.0
AIA,Anguilla,2020-08-04,0.0
AIA,Anguilla,2020-08-05,0.0
AIA,Anguilla,2020-08-06,0.0
ALB,Albania,2020-03-09,0.0
ALB,Albania,2020-03-10,0.0
ALB,Albania,2020-03-11,0.0
ALB,Albania,2020-03-12,1.0
ALB,Albania,2020-03-13,0.0
ALB,Albania,2020-03-14,0.0
ALB,Albania,2020-03-15,0.0
ALB,Albania,2020-03-16,0.0
ALB,Albania,2020-03-17,0.0
ALB,Albania,2020-03-18,0.0
ALB,Albania,2020-03-19,1.0
ALB,Albania,2020-03-20,0.0
ALB,Albania,2020-03-21,0.0
ALB,Albania,2020-03-22,0.0
ALB,Albania,2020-03-23,0.0
ALB,Albania,2020-03-24,2.0
ALB,Albania,2020-03-25,1.0
ALB,Albania,2020-03-26,0.0
ALB,Albania,2020-03-27,1.0
ALB,Albania,2020-03-28,3.0
ALB,Albania,2020-03-29,1.0
ALB,Albania,2020-03-30,0.0
ALB,Albania,2020-03-31,2.0
ALB,Albania,2020-04-01,3.0
ALB,Albania,2020-04-02,0.0
ALB,Albania,2020-04-03,1.0
ALB,Albania,2020-04-04,1.0
ALB,Albania,2020-04-05,2.0
ALB,Albania,2020-04-06,2.0
ALB,Albania,2020-04-07,1.0
ALB,Albania,2020-04-08,0.0
ALB,Albania,2020-04-09,0.0
ALB,Albania,2020-04-10,1.0
ALB,Albania,2020-04-11,0.0
ALB,Albania,2020-04-12,0.0
ALB,Albania,2020-04-13,0.0
ALB,Albania,2020-04-14,0.0
ALB,Albania,2020-04-15,1.0
ALB,Albania,2020-04-16,1.0
ALB,Albania,2020-04-17,1.0
ALB,Albania,2020-04-18,0.0
ALB,Albania,2020-04-19,0.0
ALB,Albania,2020-04-20,0.0
ALB,Albania,2020-04-21,0.0
ALB,Albania,2020-04-22,0.0
ALB,Albania,2020-04-23,1.0
ALB,Albania,2020-04-24,0.0
ALB,Albania,2020-04-25,0.0
ALB,Albania,2020-04-26,0.0
ALB,Albania,2020-04-27,1.0
ALB,Albania,2020-04-28,0.0
ALB,Albania,2020-04-29,2.0
ALB,Albania,2020-04-30,1.0
ALB,Albania,2020-05-01,0.0
ALB,Albania,2020-05-02,0.0
ALB,Albania,2020-05-03,0.0
ALB,Albania,2020-05-04,0.0
ALB,Albania,2020-05-05,0.0
ALB,Albania,2020-05-06,0.0
ALB,Albania,2020-05-07,0.0
ALB,Albania,2020-05-08,0.0
ALB,Albania,2020-05-09,0.0
